Epoch,J_train,J_test
0,1.04757,1.07736
1,0.897804,0.972692
2,0.819043,0.890123
3,0.754821,0.830615
4,0.702992,0.788282
5,0.661598,0.746115
6,0.626458,0.718208
7,0.600628,0.698063
8,0.579509,0.683714
9,0.562193,0.670729
10,0.546507,0.660317
11,0.533473,0.650939
12,0.52193,0.643808
13,0.511566,0.637896
14,0.502126,0.634309
15,0.493791,0.63152
16,0.485746,0.628716
17,0.478347,0.626156
18,0.471676,0.623773
19,0.465395,0.621616
20,0.459315,0.619708
21,0.453352,0.617982
22,0.447782,0.616727
23,0.442796,0.615893
24,0.43768,0.614931
