Components #,Info percentage,TrainMSE,TestMSE
124,0.917425,0.0826048,0.0830834
248,0.957543,0.0424715,0.0431605
372,0.974445,0.0255632,0.0262449
496,0.983509,0.0164962,0.0170878
620,0.988933,0.0110708,0.0115586
744,0.992402,0.00760122,0.00801777
868,0.994743,0.00525907,0.00560195
992,0.996355,0.00364627,0.00392311
1116,0.997477,0.0025242,0.00274488
1240,0.998259,0.00174215,0.00191633
1364,0.998801,0.00119982,0.00133496
1488,0.999175,0.000825509,0.000930457
1612,0.999433,0.00056787,0.000650782
1736,0.99961,0.000390547,0.000455121
1860,0.999732,0.000267903,0.000318193
1984,0.999818,0.000182494,0.00022141
2108,0.999877,0.0001232,0.000152833
2232,0.999918,8.21821e-05,0.00010429
2356,0.999947,5.35813e-05,6.97891e-05
2480,0.999967,3.36564e-05,4.49401e-05
2604,0.99998,1.99425e-05,2.73505e-05
2728,0.99999,1.07254e-05,1.50358e-05
2852,0.999995,4.83738e-06,6.92991e-06
2976,0.999999,1.39382e-06,2.00132e-06
